Anime_id,Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link,,,,,
20,Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",TV,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Studio Pierrot'],7.88,645672,9,975394,220,Manga,"Oct 3, 2002 to Feb 8, 2007",https://myanimelist.net/anime/20/Naruto,,,,,
21,One Piece,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",TV,"['Fuji TV', 'TAP', 'Shueisha']",['Toei Animation'],8.54,422109,35,716639,,Manga,"Oct 20, 1999 to ?",https://myanimelist.net/anime/21/One_Piece,,,,,
22,Tennis no Ouji-sama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",TV,"['Production I.G', 'Nihon Ad Systems']",['Trans Arts'],8.01,48076,915,107296,178,Manga,"Oct 10, 2001 to Mar 23, 2005",https://myanimelist.net/anime/22/Tennis_no_Ouji-sama,,,,,
23,Ring ni Kakero 1,"['Action', 'Shounen', 'Sports']",TV,,['Toei Animation'],6.59,763,6847,2725,12,Manga,"Oct 6, 2004 to Dec 15, 2004",https://myanimelist.net/anime/23/Ring_ni_Kakero_1,,,,,
24,School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']",TV,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Studio Comet'],8.02,101509,412,214291,26,Manga,"Oct 5, 2004 to Mar 29, 2005",https://myanimelist.net/anime/24/School_Rumble,,,,,
25,Sunabouzu,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",TV,"['GDH', 'Pony Canyon', 'CBC']",['Gonzo'],7.52,34345,1112,83460,24,Manga,"Oct 6, 2004 to Mar 30, 2005",https://myanimelist.net/anime/25/Sunabouzu,,,,,
26,Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78,29698,720,126309,22,Original,"Apr 17, 2003 to Sep 25, 2003",https://myanimelist.net/anime/26/Texhnolyze,,,,,
26,Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78,29698,720,126309,22,Original,"Apr 17, 2003 to Sep 25, 2003",https://myanimelist.net/anime/26/Texhnolyze,,,,,
27,Trinity Blood,"['Action', 'Supernatural', 'Vampire']",TV,,['Gonzo'],7.41,59564,761,131732,24,Light novel,"Apr 29, 2005 to Oct 28, 2005",https://myanimelist.net/anime/27/Trinity_Blood,,,,,
28,Yakitate!! Japan,"['Comedy', 'Shounen']",TV,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise'],8.02,26509,1476,62224,69,Manga,"Oct 12, 2004 to Mar 14, 2006",https://myanimelist.net/anime/28/Yakitate_Japan,,,,,
29,Zipang,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",TV,"['Marvelous', 'TBS']",['Studio Deen'],7.54,4148,3729,11768,26,Manga,"Oct 8, 2004 to Apr 1, 2005",https://myanimelist.net/anime/29/Zipang,,,,,
30,Neon Genesis Evangelion,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",TV,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']",8.32,362916,49,638943,26,Original,"Oct 4, 1995 to Mar 27, 1996",https://myanimelist.net/anime/30/Neon_Genesis_Evangelion,,,,,
31,Neon Genesis Evangelion: Death & Rebirth,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Movie,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",7.5,70336,764,121746,1,Original,15-Mar-97,https://myanimelist.net/anime/31/Neon_Genesis_Evangelion__Death___Rebirth,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Movie,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",8.48,193277,208,295214,1,Original,19-Jul-97,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,,,,,
33,Kenpuu Denki Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,"['VAP', 'Hakusensha', 'Nippon Television Network']",['OLM'],8.45,153543,250,301328,25,Manga,"Oct 8, 1997 to Apr 1, 1998",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,,,,,
43,Koukaku Kidoutai,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",Movie,"['Bandai Visual', 'Kodansha']",['Production I.G'],8.35,182385,205,328965,1,Manga,18-Nov-95,https://myanimelist.net/anime/43/Koukaku_Kidoutai,,,,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai']",OVA,['Aniplex'],['Studio Deen'],8.79,89007,537,166944,4,Manga,"Feb 20, 1999 to Sep 22, 1999",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,,,,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']",TV,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Studio Gallop', 'Studio Deen']",8.4,135492,294,274956,94,Manga,"Jan 10, 1996 to Sep 8, 1998",https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,,,,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"['Samurai', 'Historical', 'Drama', 'Shounen']",Movie,"['Fuji TV', 'Sony Music Entertainment']",['Studio Gallop'],7.63,20921,2166,37273,1,Manga,20-Dec-97,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka,,,,,
47,Akira,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural']",Movie,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']",['Tokyo Movie Shinsha'],8.16,190158,195,309004,1,Manga,16-Jul-88,https://myanimelist.net/anime/47/Akira,,,,,
48,.hack//Sign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",TV,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train'],7.09,61438,771,129203,26,Original,"Apr 4, 2002 to Sep 26, 2002",https://myanimelist.net/anime/48/hack__Sign,,,,,
49,Aa! Megami-sama!,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AIC'],7.38,20917,2083,38999,5,Manga,"Feb 21, 1993 to May 17, 1994",https://myanimelist.net/anime/49/Aa_Megami-sama,,,,,
50,Aa! Megami-sama! (TV),"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",TV,"['Bandai Visual', 'TBS']",['AIC'],7.43,57230,902,111950,24,Manga,"Jan 7, 2005 to Jul 8, 2005",https://myanimelist.net/anime/50/Aa_Megami-sama_TV,,,,,
51,Tenshi Kinryouku,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",OVA,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Hal Film Maker'],6.42,23142,2120,39332,3,Manga,"May 25, 2000 to Aug 25, 2000",https://myanimelist.net/anime/51/Tenshi_Kinryouku,,,,,
52,Kidou Tenshi Angelic Layer,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",TV,['TV Tokyo Music'],['Bones'],7.31,22155,1957,44193,26,Manga,"Apr 1, 2001 to Sep 23, 2001",https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer,,,,,
53,Ai Yori Aoshi,"['Comedy', 'Drama', 'Harem', 'Romance', 'Slice of Life']",TV,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']",['J.C.Staff'],7.21,39120,1251,77802,24,Manga,"Apr 11, 2002 to Sep 26, 2002",https://myanimelist.net/anime/53/Ai_Yori_Aoshi,,,,,
54,Appleseed (Movie),"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",Movie,"['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']",['Digital Frontier'],7.19,33806,1656,55642,1,Manga,17-Apr-04,https://myanimelist.net/anime/54/Appleseed_Movie,,,,,
55,Arc the Lad,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",TV,"['Sony Pictures Entertainment', 'Aniplex']",['Bee Train'],6.6,4313,3864,11894,26,Game,"Apr 5, 1999 to Sep 11, 1999",https://myanimelist.net/anime/55/Arc_the_Lad,,,,,
56,Avenger,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,['Production I.G'],"['Bee Train', 'Xebec']",5.97,5304,3672,13734,13,Original,"Oct 2, 2003 to Dec 25, 2003",https://myanimelist.net/anime/56/Avenger,,,,,
57,Beck,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",TV,"['Marvelous', 'Starchild Records', 'Asatsu DK', 'Kodansha']",['Madhouse'],8.37,86919,489,184445,26,Manga,"Oct 7, 2004 to Mar 31, 2005",https://myanimelist.net/anime/57/Beck,,,,,
58,Blue Gender,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",TV,"['Youmex', 'Toshiba EMI']",['AIC'],7.11,20557,1699,50597,26,Original,"Oct 8, 1999 to Mar 31, 2000",https://myanimelist.net/anime/58/Blue_Gender,,,,,
59,Chobits,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",TV,"['TBS', 'Pioneer LDC']",['Madhouse'],7.53,175227,260,317260,26,Manga,"Apr 3, 2002 to Sep 25, 2002",https://myanimelist.net/anime/59/Chobits,,,,,
60,Chrno Crusade,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']",TV,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo'],7.76,78730,593,165218,24,Manga,"Nov 25, 2003 to Jun 10, 2004",https://myanimelist.net/anime/60/Chrno_Crusade,,,,,
60,Chrno Crusade,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']",TV,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo'],7.76,78730,593,165218,24,Manga,"Nov 25, 2003 to Jun 10, 2004",https://myanimelist.net/anime/60/Chrno_Crusade,,,,,
61,D.N.Angel,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",TV,['Kadokawa Shoten'],['Xebec'],7.31,75971,716,142935,26,Manga,"Apr 3, 2003 to Sep 25, 2003",https://myanimelist.net/anime/61/DNAngel,,,,,
62,D.C.: Da Capo,"['Harem', 'Drama', 'Magic', 'Romance']",TV,"['Lantis', 'King Records']","['feel.', 'Zexcs']",6.87,24042,1620,56434,26,Visual novel,"Jul 5, 2003 to Dec 27, 2003",https://myanimelist.net/anime/62/DC__Da_Capo,,,,,
63,DearS,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi']",TV,"['Bandai Visual', 'Hal Film Maker', 'Genco', 'Lantis']",['Daume'],6.74,59210,954,105654,12,Manga,"Jul 11, 2004 to Sep 26, 2004",https://myanimelist.net/anime/63/DearS,,,,,
64,Rozen Maiden,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,"['Mellow Head', 'Pony Canyon', 'TBS', 'Memory-Tech', 'Studio Jack']",['Nomad'],7.53,74244,678,148037,12,Manga,"Oct 8, 2004 to Dec 24, 2004",https://myanimelist.net/anime/64/Rozen_Maiden,,,,,
65,Rozen Maiden: Träumend,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,"['Mellow Head', 'TBS']",['Nomad'],7.74,47114,1225,81329,12,Manga,"Oct 21, 2005 to Jan 27, 2006",https://myanimelist.net/anime/65/Rozen_Maiden__Tr%C3%A4umend,,,,,
66,Azumanga Daioh,"['Slice of Life', 'Comedy', 'School']",TV,"['Genco', 'Lantis', 'Imagica', 'TV Tokyo Music', 'Cosmic Ray', 'King Records']",['J.C.Staff'],8.04,97220,450,203059,26,4-koma manga,"Apr 9, 2002 to Oct 1, 2002",https://myanimelist.net/anime/66/Azumanga_Daioh,,,,,
67,Basilisk: Kouga Ninpou Chou,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",TV,"['GDH', 'Kodansha', 'Sotsu Music Publishing']",['Gonzo'],7.66,54403,784,124967,24,Manga,"Apr 13, 2005 to Sep 21, 2005",https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou,,,,,
68,Black Cat,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Super Power']",TV,"['GDH', 'Dentsu', 'TBS', 'Sotsu Music Publishing']",['Gonzo'],7.49,89095,525,181644,23,Manga,"Oct 7, 2005 to Mar 31, 2006",https://myanimelist.net/anime/68/Black_Cat,,,,,
69,Cluster Edge,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",TV,['Bandai Visual'],['Sunrise'],6.45,2183,4637,7831,25,Original,"Oct 5, 2005 to Mar 29, 2006",https://myanimelist.net/anime/69/Cluster_Edge,,,,,
71,Full Metal Panic!,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",TV,['Kadokawa Shoten'],['Gonzo'],7.75,167246,244,317099,24,Light novel,"Jan 8, 2002 to Jun 18, 2002",https://myanimelist.net/anime/71/Full_Metal_Panic,,,,,
71,Full Metal Panic!,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",TV,['Kadokawa Shoten'],['Gonzo'],7.75,167246,244,317099,24,Light novel,"Jan 8, 2002 to Jun 18, 2002",https://myanimelist.net/anime/71/Full_Metal_Panic,,,,,
72,Full Metal Panic? Fumoffu,"['Action', 'Comedy', 'School']",TV,"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']",['Kyoto Animation'],8.16,127214,452,203721,12,Light novel,"Aug 26, 2003 to Oct 18, 2003",https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu,,,,,
73,Full Metal Panic! The Second Raid,"['Action', 'Military', 'Mecha']",TV,"['Kadokawa Shoten', 'Happinet Pictures']",['Kyoto Animation'],8.03,109315,520,184261,13,Light novel,"Jul 14, 2005 to Oct 20, 2005",https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid,,,,,
74,Gakuen Alice,"['Comedy', 'School', 'Shoujo', 'Super Power']",TV,"['Aniplex', 'Sogo Vision']",['Group TAC'],7.77,33204,1477,62865,26,Manga,"Oct 30, 2004 to May 14, 2005",https://myanimelist.net/anime/74/Gakuen_Alice,,,,,
75,Soukyuu no Fafner: Dead Aggressor,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",TV,['TV Tokyo Music'],['Xebec'],7.36,10469,2280,32492,25,Original,"Jul 5, 2004 to Dec 27, 2004",https://myanimelist.net/anime/75/Soukyuu_no_Fafner__Dead_Aggressor,,,,,
76,Mahou Shoujo Lyrical Nanoha,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs'],7.49,31503,1325,73306,13,Original,"Oct 3, 2004 to Dec 26, 2004",https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha,,,,,
77,Mahou Shoujo Lyrical Nanoha A's,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs'],8.07,25763,1825,47811,13,Original,"Oct 2, 2005 to Dec 25, 2005",https://myanimelist.net/anime/77/Mahou_Shoujo_Lyrical_Nanoha_As,,,,,
79,Shuffle!,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']",TV,"['Lantis', 'Memory-Tech']","['Xebec', 'Asread']",7.24,96970,496,190598,24,Visual novel,"Jul 8, 2005 to Jan 6, 2006",https://myanimelist.net/anime/79/Shuffle,,,,,
80,Mobile Suit Gundam,"['Action', 'Space', 'Mecha', 'Military', 'Sci-Fi']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],7.87,29261,1332,66802,43,Original,"Apr 7, 1979 to Jan 26, 1980",https://myanimelist.net/anime/80/Mobile_Suit_Gundam,,,,,
81,Mobile Suit Gundam: The 08th MS Team,"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']",OVA,['Atelier Musa'],['Sunrise'],8.1,24816,1803,44047,12,Original,"Jan 25, 1996 to Jul 25, 1999",https://myanimelist.net/anime/81/Mobile_Suit_Gundam__The_08th_MS_Team,,,,,
82,Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",OVA,['Bandai Visual'],['Sunrise'],7.87,16209,2298,29545,6,Original,"Mar 25, 1989 to Aug 25, 1989",https://myanimelist.net/anime/82/Mobile_Suit_Gundam_0080__War_in_the_Pocket,,,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",Movie,"['Sotsu', 'Atelier Musa']",['Sunrise'],6.92,4800,4260,9344,1,Original,1-Aug-98,https://myanimelist.net/anime/83/Mobile_Suit_Gundam__The_08th_MS_Team_-_Millers_Report,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",OVA,['Bandai Visual'],['Sunrise'],7.42,14133,2594,24894,13,Original,"May 23, 1991 to Sep 24, 1992",https://myanimelist.net/anime/84/Mobile_Suit_Gundam_0083__Stardust_Memory,,,,,
85,Mobile Suit Zeta Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],8.02,18568,2016,37251,50,Original,"Mar 2, 1985 to Feb 22, 1986",https://myanimelist.net/anime/85/Mobile_Suit_Zeta_Gundam,,,,,
86,Mobile Suit Gundam ZZ,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],6.76,10131,2762,21830,47,Original,"Mar 1, 1986 to Jan 31, 1987",https://myanimelist.net/anime/86/Mobile_Suit_Gundam_ZZ,,,,,
87,Mobile Suit Gundam: Char's Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']",7.77,13934,2604,24100,1,Novel,12-Mar-88,https://myanimelist.net/anime/87/Mobile_Suit_Gundam__Chars_Counterattack,,,,,
87,Mobile Suit Gundam: Char's Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']",7.77,13934,2603,24100,1,Novel,12-Mar-88,https://myanimelist.net/anime/87/Mobile_Suit_Gundam__Chars_Counterattack,,,,,
88,Mobile Suit Gundam F91,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya TV Housou']",['Sunrise'],6.81,9124,3208,16606,1,Unknown,16-Mar-91,https://myanimelist.net/anime/88/Mobile_Suit_Gundam_F91,,,,,
89,Mobile Suit Victory Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,"['TV Asahi', 'Sotsu', 'Apollon']","['Sunrise', 'Studio Deen']",6.89,5743,3353,15437,51,Original,"Apr 2, 1993 to Mar 25, 1994",https://myanimelist.net/anime/89/Mobile_Suit_Victory_Gundam,,,,,
90,Mobile Suit Gundam Wing,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,['TV Asahi'],['Sunrise'],7.84,59837,968,102695,49,Original,"Apr 7, 1995 to Mar 29, 1996",https://myanimelist.net/anime/90/Mobile_Suit_Gundam_Wing,,,,,
91,Mobile Suit Gundam Wing: Endless Waltz,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",OVA,"['Bandai Visual', 'Sotsu']",['Sunrise'],7.86,19807,2288,33070,3,Original,"Jan 25, 1997 to Jul 25, 1997",https://myanimelist.net/anime/91/Mobile_Suit_Gundam_Wing__Endless_Waltz,,,,,
92,After War Gundam X,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",TV,"['TV Asahi', 'Sotsu']",['Sunrise'],7.38,9860,2802,22432,39,Original,"Apr 5, 1996 to Dec 28, 1996",https://myanimelist.net/anime/92/After_War_Gundam_X,,,,,
93,Mobile Suit Gundam SEED,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']",['Sunrise'],7.88,65828,894,113769,50,Original,"Oct 5, 2002 to Sep 27, 2003",https://myanimelist.net/anime/93/Mobile_Suit_Gundam_SEED,,,,,
94,Mobile Suit Gundam SEED Destiny,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']",['Sunrise'],7.32,46155,1319,75184,50,Original,"Oct 9, 2004 to Oct 1, 2005",https://myanimelist.net/anime/94/Mobile_Suit_Gundam_SEED_Destiny,,,,,
95,Turn A Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']",7.75,8619,2548,25363,50,Original,"Apr 9, 1999 to Apr 14, 2000",https://myanimelist.net/anime/95/Turn_A_Gundam,,,,,
95,Turn A Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']",7.75,8619,2544,25363,50,Original,"Apr 9, 1999 to Apr 14, 2000",https://myanimelist.net/anime/95/Turn_A_Gundam,,,,,
96,Mobile Fighter G Gundam,"['Sci-Fi', 'Adventure', 'Space', 'Comedy', 'Sports', 'Drama', 'Romance', 'Martial Arts', 'Mecha']",TV,"['TV Asahi', 'Sotsu']",['Sunrise'],7.61,23961,1910,43223,49,Original,"Apr 1, 1994 to Mar 31, 1995",https://myanimelist.net/anime/96/Mobile_Fighter_G_Gundam,,,,,
97,Last Exile,"['Action', 'Sci-Fi', 'Adventure']",TV,"['GDH', 'Victor Entertainment', 'TV Tokyo Music']",['Gonzo'],7.9,53498,810,122802,26,Original,"Apr 8, 2003 to Sep 30, 2003",https://myanimelist.net/anime/97/Last_Exile,,,,,
98,Mai-HiME,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",TV,"['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']",['Sunrise'],7.55,41234,1158,85965,26,Original,"Sep 30, 2004 to Mar 31, 2005",https://myanimelist.net/anime/98/Mai-HiME,,,,,
99,Mai-Otome,"['Comedy', 'Drama', 'Fantasy', 'Magic']",TV,"['Bandai Visual', 'Lantis', 'TV Tokyo Music']",['Sunrise'],7.37,20942,2078,40418,26,Original,"Oct 7, 2005 to Mar 31, 2006",https://myanimelist.net/anime/99/Mai-Otome,,,,,
